timestamp,ID,race_ethnicity,database_language,survey_language,survey_completed_for_artist,What is your race/ethnicity?,Is English your primary language (or one of your primary languages?),How comfortable are you reading English?,How comfortable are you writing English?,Do you use a language other than English?,Is your primary language ASL/sign language (or one of your primary languages)?,Do you live with anyone that uses ASL?,Do you live with anyone that is D/deaf or hard of hearing?,Do you live with anyone that is hearing?,What is your primary language?,Do you live with anyone speaks this language?,Do you live with anyone that speaks English?,Which device do you most regularly use for emails and Zoom?,"Please list any other devices, apps, or software that you regularly use to access and use technology.",How comfortable are you using email?,How comfortable are you using Zoom?,Does anyone regularly help you use email and/or Zoom?,Do you have a helper?,helper_type,Does this person live with you?,What language(s) do they feel most comfortable using?,How comfortable are they reading English?,How comfortable are they writing English?,How comfortable are they using email?,How comfortable are they using Zoom?
1/25/2022 17:16:58,1086,White,N/A,English,1,White/Non-Hispanic (2); White/Hispanic (1),Yes,2,1,Yes,No,,,,English (3); Spanish/Secondary Language (1),Yes,Yes,tablet,,1,4,Yes,Yes,Non-CG staff,No,English,5,5,5,5
2/17/2022 19:25:01,1087,White,English,English,1,white,Yes,1,1,No,,,,,,,,computer,Ipad,3,3,Yes,Yes,Family,Yes,english,5,5,5,5
2/17/2022 21:45:49,1088,latino/black,English,English,0,black/latino,Yes,4,4,Yes,No,,,,english,Yes,Yes,computer,"cellular, Ipod, tablet",3,3,Yes,Yes,Family,Yes,english,4,4,4,4
2/27/2022 8:30:36,1089,White,English,English,0,Union City,Yes,5,5,No,,,,,,,,phone,,3,5,No,No,,,,,,,
1/25/2022 16:11:56,1090,White,"English, Sign Support",English,1,caucasian,Yes,1,1,No,,,,,,,,computer,,1,1,Yes,Yes,Family,Yes,english,5,5,5,4
1/25/2022 14:55:06,1091,White,English,English,1,caucasian/ latino,Yes,4,4,No,,,,,,,,computer,casual ipad use,2,4,Yes,Yes,Family,Yes,english,4,4,4,4
3/4/2022 13:10:25,1093,White,English,English,0,White,Yes,5,2,No,,,,,,,,tablet,,2,5,No,No,,,,,,,
1/25/2022 15:30:57,1095,Black,English,English,1,African American,Yes,4,4,No,,,,,,,,Ipad,Computer apple,5,4,No,No,,,,,,,
2/17/2022 11:41:07,1097,Black,English,English,1,Black/ Hispanic,Yes,5,5,No,,,,,,,,computer,"Ipad, Iphone or laptop",5,5,Yes,Yes,Family,Yes,English,5,5,5,5
1/25/2022 14:20:09,1099,White,English,English,0,white,Yes,2,3,No,,,,,,,,computer,phone,1,3,Yes,Yes,Family,Yes,english,5,5,5,5
3/17/2022 9:56:56,1101,Black,English,English,1,African,Yes,5,5,No,,,,,,,,computer,,5,5,No,No,,,,,,,
2/4/2022 13:15:27,1102,Latino,Spanish,Spanish,1,latina,No,1,1,Yes,No,,,,espanol,Yes,No,tableta,,2,2,Yes,Yes,Family,Yes,espanol,3,3,5,3
2/8/2022 13:43:14,1103,Black,English,English,1,African american,Yes,5,5,No,,,,,,,,other,No tech,2,2,No,No,,,,,,,
3/2/2022 23:48:08,1104,White,English,English,1,White/Black,Yes,5,5,No,,,,,,,,computer,,5,5,Yes,Yes,Non-CG staff,Yes,English,5,5,5,5
3/22/2022 11:36:08,1105,Black,English,English,1,african american,Yes,5,5,No,,,,,,,,phone,tablet,5,1,No,No,,,,,,,
3/2/2022 23:48:08,1106,Black,English,English,1,White/Black,Yes,5,5,No,,,,,,,,computer,,5,5,Yes,Yes,Non-CG staff,Yes,English,5,5,5,5
2/9/2022 16:50:30,1107,White,English,English,0,Oakland,Yes,1,1,No,,,,,,,,computer,None,1,1,No,No,,,,,,,
1/25/2022 16:08:39,1108,White,English,English,0,Oakland,Yes,3,4,No,,,,,,,,phone,,5,5,No,No,,,,,,,
2/16/2022 17:43:28,1109,Chinese,English,English,0,Chinese,Yes,4,4,No,,,,,,,,computer,"iPhone, tablet",5,1,No,No,,,,,,,
2/9/2022 13:53:15,1110,Chinese,"ASL, Chinese ASL",English,1,Asian / Chinese,No,3,3,Yes,Yes,No,No,No,,,,tablet,Sorenson. Only iPad and vide phone,1,2,Yes,Yes,Non-CG staff,No,"Deaf, ASL",5,5,5,5
1/25/2022 14:40:33,1112,Vietnamese,English,English,0,Vietnamese,Yes,5,4,Yes,No,,,,English,Yes,Yes,phone,Ipad gmail zoom,5,5,Yes,Yes,Non-CG staff,No,Vietnamese,5,5,5,5
2/8/2022 14:16:28,1111,Filipino,English,English,1,Asian,Yes,5,2,No,,,,,,,,other,Chromebook,1,3,No,No,,,,,,,
1/25/2022 15:04:18,1114,White,English,English,0,White,Yes,5,5,No,,,,,,,,computer,Ipad,5,5,No,No,,,,,,,
2/23/2022 14:27:13,1113,White,ASL,English,0,White,Yes,5,5,Yes,Yes,Yes,Yes,No,,,,Ipad,Phone,5,3,No,No,,,,,,,
1/25/2022 15:23:15,1115,Black,English,English,0,Africanamerican,Yes,5,5,No,,,,,,,,computer,"Pc, phone",5,5,No,No,,,,,,,
3/17/2022 10:18:31,1116,Black,English,English,0,African American,Yes,4,4,No,,,,,,,,Ipad,No,4,1,No,No,,,,,,,
3/23/2022 10:57:31,1117,White,ASL,English,1,Na,No,5,5,Yes,Yes,No,No,No,,,,phone,Tech 3 braille phone texts mostly,3,5,No,No,,,,,,,
2/1/2022 13:59:29,1119,White,N/A,English,1,White,Yes,4,3,No,,,,,,,,tablet,"Val uses her cellphone to browse, call home from handicap bus. Google only. Mom uses Zoom, e-mail and text messages for Valerie",1,1,Yes,Yes,Family,Yes,English,5,5,5,4
2/9/2022 11:56:55,1122,White,ASL,English,1,White,No,3,4,Yes,Yes,Yes,Yes,No,,,,other,Laptop,2,1,Yes,Yes,Family,Yes,Asl,5,5,5,5
3/22/2022 11:28:46,1123,Black,English,English,1,na,Yes,5,5,No,,,,,,,,tablet,computer,5,3,Yes,Yes,Family,No,english,5,5,5,5
2/7/2022 22:00:36,1125,Chinese,"Cantonese, Mandarin",English,1,Chinese,No,1,1,Yes,No,,,,Chinese,Yes,No,phone,N/A,1,1,Yes,Yes,Family,Yes,Chinese,1,1,1,1
2/8/2022 14:03:36,1126,Black,English,English,1,African american,Yes,3,3,No,,,,,,,,computer,,2,3,No,No,,,,,,,
,1068,Middle Eastern,Dari,English,1,Afghani,No,1,1,Yes,No,,,,Dari farsi,No,Yes,other,,1,1,No,No,,,,,,,
